avg_ram_usage_mb,peak_ram_usage_mb,seconds_to_threshold,iterations_to_threshold,reached_threshold
12234.098737373735,12317.3,,,0
13153.314788732394,13379.6,,,0
12780.799025974024,12948.0,,,0
12846.09192825112,13043.6,,,0
12755.319282511213,12884.0,,,0
11511.809550561798,11719.2,130.49063062667847,120000.0,1
13035.92610619469,13161.7,,,0
11950.124418604652,12179.9,96.75590896606444,120000.0,1
13745.097857142857,13883.9,102.8461754322052,120000.0,1
12963.24609053498,13153.4,,,0
12867.930538922155,13084.2,,,0
12937.063395225465,13160.7,,,0
11527.03611111111,11599.8,93.41813206672668,120000.0,1
12780.857948717949,12903.0,,,0
14147.46623616236,14305.9,,,0
10883.94599156118,11088.5,,,0
13028.258379888268,13213.3,131.48886275291443,120000.0,1
14476.183576642336,14644.4,100.60471415519714,120000.0,1
13784.304219409283,13960.9,86.82874488830566,120000.0,1
12960.47326923077,13119.5,,,0
12785.6826446281,12946.9,,,0
13847.177133105804,14021.8,107.16887664794922,120000.0,1
13632.014552238808,13796.4,,,0
13512.570212765955,13655.7,,,0
13439.871181556196,13622.5,,,0
11466.47896995708,11616.4,,,0
11037.08449197861,11219.1,,,0
13926.083443708609,14102.9,,,0
11475.075390625,11616.9,,,0
12158.331896551725,12349.8,,,0
11997.176,12130.6,,,0
11482.15119047619,11637.3,216.1921048164368,120000.0,1
14420.65304054054,14605.2,,,0
13268.515849056605,13426.6,,,0
12650.59677419355,12743.4,,,0
12762.12252010724,12918.6,137.2453978061676,120000.0,1
14592.544886363636,14783.8,,,0
11540.94361948956,11798.7,,,0
11772.788143176736,11901.6,,,0
13988.134810126585,14150.7,117.95114541053772,120000.0,1
13970.999174917491,14123.9,223.4500679969788,120000.0,1
11907.321381578948,12009.3,112.17216873168944,120000.0,1
12732.607784431138,12907.0,,,0
13667.220689655172,13834.5,,,0
13666.490812720847,13801.9,,,0
14347.121804511278,14585.8,,,0
13811.340248962655,13996.2,,,0
12182.488372093025,12290.0,127.7686402797699,120000.0,1
11756.186872586874,11910.6,,,0
11269.883103448276,11403.8,,,0
13362.262937062937,13526.3,,,0
11845.775647668394,11966.9,143.79089093208313,120000.0,1
11520.11141868512,11682.1,106.17313265800476,120000.0,1
12288.709764309764,12454.4,,,0
11287.0853470437,11449.7,144.4553472995758,120000.0,1
12337.463768115942,12483.7,,,0
11951.593658536583,12117.3,,,0
13638.195939086294,13969.7,,,0
12956.617921146952,13147.5,,,0
13053.871487603306,13233.5,,,0
13629.197244094488,13812.2,,,0
14405.987976539587,14547.6,,,0
14116.130423940149,14288.1,,,0
13037.946719160103,13217.5,,,0
11377.076491862568,11809.6,,,0
14589.773310810811,14825.1,,,0
14086.42110091743,14419.9,,,0
11230.597035881436,11458.6,,,0
12849.65543478261,13074.6,,,0
13373.474390243902,13497.3,121.0205774307251,120000.0,1
13049.744552058111,13236.5,,,0
12907.48738170347,13029.8,117.32722234725952,120000.0,1
12315.15930232558,12542.5,130.3441982269287,120000.0,1
13364.591014492751,13493.8,,,0
12998.17689768977,13157.4,111.28127074241638,120000.0,1
11868.781730769231,12961.5,114.2809600830078,120000.0,1
11972.078510028654,12087.7,,,0
13808.024303797469,14618.3,,,0
12826.175618374558,12991.8,,,0
11597.764144736842,11749.8,,,0
11803.037885462556,12535.4,,,0
13522.699170812604,13673.4,,,0
12867.815102040817,13029.4,,,0
14453.192576419216,14754.1,,,0
11976.350798722046,12186.8,,,0
14578.85296912114,14731.6,,,0
13586.331351351351,13798.6,,,0
12241.671610169493,12414.9,87.28817486763,120000.0,1
13178.458361774745,13391.5,106.49734210968018,120000.0,1
12208.243410852714,12423.3,,,0
12770.85406504065,13011.5,91.3263816833496,120000.0,1
12180.168055555556,12332.8,,,0
14059.482191780822,14199.0,,,0
12398.497446808513,12502.3,,,0
11831.763976945243,11987.4,127.70019817352296,120000.0,1
11578.286605080832,11695.8,,,0
14568.570135746606,14710.2,,,0
12330.06875,12451.3,104.26021552085876,120000.0,1
11597.494805194803,11743.0,,,0
14113.832532751092,14929.4,159.9474651813507,120000.0,1
11903.272794117647,11991.6,,,0
11054.18875739645,11179.4,126.54114055633544,120000.0,1
11858.025172413792,12031.8,105.46563386917114,120000.0,1
14190.851736111112,14382.5,,,0
12652.672690763053,12814.1,92.9485569000244,120000.0,1
14136.628138528138,14330.7,,,0
11566.28426966292,11702.0,,,0
11549.05731462926,11798.5,190.49640369415283,120000.0,1
13208.45806451613,13350.2,136.8275647163391,120000.0,1
13377.09908883827,13561.4,162.13763070106506,120000.0,1
11502.556343283582,11604.3,,,0
14005.981030444966,14250.9,,,0
14486.09746835443,14572.2,86.65672779083252,120000.0,1
13774.425490196078,13831.1,,,0
14490.211368909511,14664.3,,,0
12686.25071770335,12862.9,,,0
14026.18619631902,14183.8,120.54484510421752,120000.0,1
12174.813761467887,12340.7,,,0
13095.11654676259,13268.7,,,0
14248.553243847877,14498.4,,,0
12876.851329787234,13001.5,,,0
14096.574639769451,14348.9,,,0
13868.20113960114,14063.2,,,0
13822.60386100386,14050.8,,,0
12815.184132841328,12958.7,100.10397124290466,120000.0,1
14150.43323782235,14355.9,,,0
12425.820564516129,12557.8,,,0
12304.97003154574,12461.8,243.55948495864868,120000.0,1
12635.564888888888,12848.1,,,0
14578.83063583815,14723.4,,,0
12029.66846361186,12216.2,,,0
12802.510374639767,13001.6,,,0
13799.208482142858,14079.0,,,0
12235.941666666668,12400.7,,,0
11680.782062780268,11801.7,,,0
14553.911240310075,14732.1,,,0
14364.374587458746,14533.7,,,0
13450.801063829787,13598.1,,,0
13931.517204301075,14057.5,,,0
11549.45960912052,11656.1,,,0
12886.85400516796,13047.7,,,0
14094.10114068441,14241.4,97.09191608428956,120000.0,1
12218.342647058824,12369.9,,,0
10825.053597122302,11019.5,102.43572092056274,120000.0,1
11945.825423728813,12103.0,,,0
12890.274904942966,13024.5,,,0
11883.096280991736,12060.3,,,0
14271.99627118644,14711.2,109.8248896598816,120000.0,1
14283.040366972476,14473.9,,,0
11896.359554140128,12086.9,116.43602466583252,120000.0,1
12716.76094420601,12842.6,,,0
14534.686524822697,14682.6,,,0
14616.887557603686,15078.2,,,0
11833.415830721004,12087.1,244.05533957481384,120000.0,1
13734.665096359742,13905.3,,,0
11482.602222222222,12278.9,,,0
13956.105035971224,14187.8,103.93813467025755,120000.0,1
12994.169491525425,13197.6,,,0
13472.678938640132,13726.5,,,0
13883.518811881188,14019.7,,,0
14148.15625,14276.0,151.38909077644348,120000.0,1
13082.1265625,13255.6,,,0
13616.32660098522,13671.9,,,0
12198.782857142856,12361.0,,,0
12989.168727272729,13164.6,,,0
14143.498662207356,14381.9,,,0
12010.286783042397,12173.8,,,0
14375.971572580644,14645.4,,,0
12614.985333333334,12968.1,,,0
12772.378217821784,12848.9,,,0
11614.23288590604,11795.7,,,0
11538.017721518989,11756.3,,,0
13463.575536480686,13662.5,87.1640841960907,120000.0,1
13277.501944444444,13425.3,,,0
11452.193406593407,11651.8,236.06687831878665,120000.0,1
12782.72761904762,13014.2,,,0
11944.399641577062,12083.2,,,0
12042.57,12205.2,115.34134602546692,120000.0,1
11534.802710843374,11663.6,,,0
12893.961217948718,13027.0,116.14155745506288,120000.0,1
13669.965993265992,13876.9,105.10091924667358,120000.0,1
11849.43795180723,12026.3,,,0
12746.375244299674,12924.7,,,0
12718.82154255319,12894.1,,,0
11909.876752767528,12007.2,99.44989728927612,120000.0,1
11451.722480620156,11613.5,,,0
12645.421787709498,12879.8,,,0
11937.666666666666,12130.5,,,0
11837.953333333331,11994.7,,,0
14408.494023904384,14548.6,,,0
11943.32168141593,12110.6,,,0
13176.80602006689,13394.1,,,0
12658.651748251748,12874.4,,,0
14531.231847133758,14710.6,116.0812463760376,120000.0,1
14496.399016393443,14663.9,111.04934310913086,120000.0,1
14113.978260869566,14319.7,,,0
14533.293162393162,14600.4,,,0
11941.02099644128,12133.7,,,0
13887.167083333334,13999.3,,,0
11960.32459893048,12161.8,,,0
13914.62895522388,14130.5,,,0
11480.967272727274,11682.0,,,0
11442.93488372093,11483.6,,,0
12354.75392670157,12477.7,,,0
12880.865922619048,13066.1,,,0
12206.659285714286,12385.9,,,0
12747.415555555555,12923.6,,,0
10804.352430555557,10975.1,,,0
11907.47967032967,12038.8,,,0
12307.25816993464,12450.5,113.08540725708008,120000.0,1
11173.350256410256,11348.2,,,0
12276.198031496064,12390.3,,,0
11595.007537688442,11767.1,,,0
13828.018811881188,14003.5,,,0
13599.953496503496,13790.4,108.00631976127625,120000.0,1
12361.891640866874,12571.1,118.46437072753906,120000.0,1
11949.321031746033,12086.5,,,0
11895.213615023476,11951.2,,,0
14077.942176870749,14263.0,,,0
12362.649222797929,12562.8,,,0
11444.486690647482,11567.9,,,0
13898.239647577091,14038.6,,,0
12179.991747572816,12346.7,,,0
13801.724466019416,13942.0,,,0
13802.307978723404,13997.2,,,0
12702.35641025641,12877.6,69.63601493835449,120000.0,1
11297.941237113402,11421.0,108.98100209236144,120000.0,1
11607.993269230768,11872.7,116.91209673881532,120000.0,1
12346.643962848297,12563.9,,,0
12752.805371900826,13471.7,,,0
11902.331503579951,12134.1,,,0
11298.161510128914,11519.4,,,0
11941.522907488988,11998.3,,,0
13306.489805825242,13507.5,,,0
11994.299227799229,12152.7,,,0
12601.044392523365,12815.6,,,0
13989.36674816626,14151.8,,,0
11923.947058823527,12033.1,,,0
12784.932055749128,12942.4,105.48611903190611,120000.0,1
14583.895983935745,14721.5,,,0
12965.373101265825,13188.9,,,0
13365.81554770318,13536.4,,,0
12032.355272727273,12198.1,,,0
11579.375217391304,11705.1,,,0
13614.16699186992,13808.0,,,0
12677.896453900708,12848.5,,,0
11923.68115942029,12058.9,,,0
11886.7286908078,11959.1,,,0
11854.191823899371,12137.7,,,0
13059.005980066446,13229.5,,,0
12727.24652406417,12983.1,,,0
12389.650638297871,12535.2,,,0
11917.585663082436,12585.8,103.42781376838684,120000.0,1
12887.927083333334,13035.0,,,0
11329.335612535611,11463.5,,,0
13282.93542600897,13441.4,,,0
12613.253651685392,12878.2,,,0
13783.176201923075,13961.2,,,0
12126.8,12218.0,138.29615998268127,120000.0,1
12210.551207729468,12369.2,,,0
14376.8325,14505.2,,,0
14342.057818181818,14593.7,,,0
13445.183050847458,13685.9,,,0
11863.539325842698,12690.8,,,0
11539.846768060836,11681.7,,,0
13778.29311594203,14597.2,,,0
12181.134901960784,12351.7,,,0
14543.725925925926,14703.3,,,0
12854.3,12999.8,,,0
13748.072932330828,13906.8,,,0
13156.285763888887,13408.1,,,0
14364.85101010101,14516.2,,,0
12738.14004854369,12906.0,,,0
14145.224873096447,14278.5,,,0
11901.201818181818,11997.6,,,0
13251.270833333334,13439.6,,,0
11885.107055214725,12074.1,,,0
12363.197840172788,12613.8,,,0
13222.212393162394,13459.3,,,0
11479.869977426635,11687.4,168.91874313354492,120000.0,1
14074.706134969323,14343.3,,,0
11904.672352941176,12039.2,,,0
11763.038922155689,11929.5,,,0
12179.432071713149,12393.1,,,0
13359.401923076925,13518.8,116.3186583518982,120000.0,1
11914.75352112676,12126.5,,,0
13720.91190926276,13899.4,,,0
14294.070944309928,14525.0,,,0
13629.33731884058,13830.5,219.13184213638303,120000.0,1
13008.64295774648,13484.6,,,0
12639.878787878788,12873.0,,,0
11565.934024896264,11726.8,,,0
12345.92576419214,12541.9,,,0
11174.547318611989,11325.6,,,0
11932.43242320819,12071.3,,,0
11997.371308016878,12093.3,,,0
12803.41872659176,13016.7,94.01649522781372,120000.0,1
13752.329490022174,13929.2,164.90539264678955,120000.0,1
11905.138578680204,12025.3,,,0
12335.971717171717,12510.6,,,0
14397.238062283735,14559.8,106.9955747127533,120000.0,1
13829.34,14075.7,,,0
14078.349872122762,14269.1,,,0
12632.448674698797,12813.8,,,0
12055.259633027525,12576.4,,,0
11839.06736111111,11992.3,106.78040432929993,120000.0,1
11780.13348946136,11947.3,,,0
12003.785195530729,12102.8,,,0
11924.63644859813,12099.0,,,0
11565.268421052631,11678.8,,,0
12035.685365853658,12150.4,,,0
12164.4516,12322.8,,,0
14197.541719745224,14347.4,118.07156586647034,120000.0,1
14493.343684210526,14581.1,,,0
12820.248705882354,13008.2,,,0
11834.629113924051,12010.2,,,0
12018.3,12183.3,,,0
14063.802624671916,14209.0,,,0
14094.780866425992,14337.3,,,0
13471.051048951049,13614.3,,,0
13883.645098039216,14154.7,,,0
11093.68814229249,11273.0,,,0
12398.680067567568,12577.7,111.36301922798155,120000.0,1
12698.801811594203,12962.8,,,0
14474.314068441065,14681.2,,,0
12700.90287539936,12890.2,115.38965177536012,120000.0,1
13535.238333333333,13702.6,,,0
11947.407279693489,12033.6,,,0
13455.14552238806,13660.5,,,0
14520.502166064982,14690.8,98.5105242729187,120000.0,1
13853.22235576923,14006.5,155.89864540100098,120000.0,1
14117.439350180506,14281.8,,,0
14471.563567839195,14703.4,,,0
13385.634222222225,13602.1,,,0
13777.707826086957,13958.1,,,0
14505.695564516129,14635.6,,,0
11746.459708737864,11915.8,,,0
14486.6456,14716.9,140.89118313789368,120000.0,1
14034.991011235956,14233.1,,,0
12588.285542168676,12793.9,,,0
14499.895087719298,14647.4,,,0
14449.509352517984,14707.2,,,0
12883.867555555556,12949.7,,,0
