run_id,game_type,algorithm,learning_rate,batch_size,buffer_size,num_epoch,num_units,num_layers,max_steps,cpu_cores,total_ram_gb,avg_cpu_utilization,avg_gpu_utilization,avg_ram_usage_mb,peak_ram_usage_mb,target_mean_reward,iterations_to_target,training_time_to_target_sec
run_2025-11-10_12-00-00,3DBall,PPO,0.0003,2048,40960,4,128,2,50000,8,32,54.0,50.1,11797.1,12066.800000000001,100,6047.0,19.7
run_2025-11-10_12-30-00,Walker,SAC,0.0005,1024,20480,4,256,3,75000,16,64,47.3,59.9,11466.4,11882.3,100,7080.0,16.1
run_2025-11-10_13-00-00,3DBall,PPO,0.0003,1024,20480,3,128,2,50000,8,32,53.1,46.5,8950.0,9044.7,100,6269.0,15.7
run_2025-11-10_13-30-00,3DBall,PPO,0.0003,1024,20480,3,128,2,50000,8,32,45.6,62.5,11034.2,11277.1,100,6770.0,17.1
run_2025-11-10_14-00-00,3DBall,PPO,0.0003,1024,20480,4,128,2,50000,8,32,54.0,61.6,9581.0,9913.8,100,6278.0,25.0
run_2025-11-10_14-30-00,Walker,SAC,0.0005,512,10240,3,256,3,75000,16,64,51.5,49.3,12098.8,12245.599999999999,100,6303.0,15.4
run_2025-11-10_15-00-00,3DBall,PPO,0.0003,2048,40960,3,128,2,50000,8,32,53.7,61.2,10359.3,10691.699999999999,100,6597.0,23.1
run_2025-11-10_15-30-00,3DBall,PPO,0.0003,1024,20480,4,128,2,50000,8,32,45.0,60.7,12975.5,13441.1,100,9000.0,23.1
run_2025-11-10_16-00-00,3DBall,PPO,0.0003,2048,40960,3,128,2,50000,8,32,46.7,57.6,8825.5,9324.4,100,6007.0,23.7
run_2025-11-10_16-30-00,Walker,SAC,0.0005,512,10240,5,256,3,75000,16,64,48.9,52.5,11989.6,12054.2,100,7916.0,24.6
run_2025-11-10_17-00-00,3DBall,PPO,0.0003,1024,20480,5,128,2,50000,8,32,48.8,50.4,11499.0,11655.0,100,6424.0,17.2
run_2025-11-10_17-30-00,3DBall,PPO,0.0003,1024,20480,5,128,2,50000,8,32,47.3,49.6,11930.5,12120.1,100,8762.0,16.7
run_2025-11-10_18-00-00,3DBall,PPO,0.0003,2048,40960,5,128,2,50000,8,32,48.8,51.4,9814.6,10044.2,100,6281.0,19.6
run_2025-11-10_18-30-00,3DBall,PPO,0.0003,1024,20480,4,128,2,50000,8,32,46.3,63.1,10663.5,10822.5,100,8865.0,17.2
run_2025-11-10_19-00-00,Walker,SAC,0.0005,1024,20480,4,256,3,75000,16,64,49.1,46.6,12063.9,12205.5,100,7833.0,22.8
run_2025-11-10_19-30-00,3DBall,PPO,0.0003,2048,40960,4,128,2,50000,8,32,53.0,61.6,9469.7,9949.2,100,6004.0,21.6
